Date/Time,Word Count,ca,en,es,fr,it
2026.01.17-11.48.05,156,0,156,0,0,0
2026.01.17-12.03.38,156,17,156,15,0,0
2026.01.17-12.47.48,156,17,156,15,22,16
2026.01.20-20.46.17,170,17,170,15,22,16
2026.02.08-15.08.44,225,17,225,15,22,16
2026.02.08-15.39.14,236,17,236,15,22,16
2026.02.08-15.42.20,233,17,233,15,22,16
2026.02.08-15.49.14,233,17,233,30,22,16
2026.03.15-21.24.18,606,15,606,14,20,15
2026.03.16-10.33.22,479,235,479,233,20,15
2026.03.16-10.40.25,479,245,479,243,20,15
2026.03.16-20.58.54,493,228,493,226,20,15
2026.03.16-23.59.26,607,253,607,251,20,15
2026.03.17-00.05.43,570,253,570,251,20,15
2026.03.17-17.55.15,571,329,571,325,20,15
2026.03.18-17.47.25,567,291,567,287,20,15
2026.03.23-13.03.54,568,383,568,366,20,15
2026.03.31-14.40.03,586,339,586,322,20,15
2026.04.17-10.05.06,783,303,783,349,19,14
2026.04.27-18.44.12,1130,344,1130,331,19,14
2026.04.27-23.06.50,1130,1130,1130,814,19,14
2026.05.03-13.50.31,1122,1107,1122,797,19,14
2026.05.03-14.00.49,1122,1115,1122,805,19,14
2026.05.05-15.35.57,1136,1115,1136,805,19,14
2026.05.05-15.48.36,1131,1115,1131,805,19,14
2026.05.05-15.53.50,1131,1131,1131,805,19,14
2026.05.20-11.53.48,1446,868,1446,559,19,14
2026.05.20-11.59.09,1447,868,1447,559,19,14
2026.05.20-12.34.31,1447,1206,1447,564,19,14
2026.05.23-20.40.36,1446,1187,1446,545,19,14
2026.05.23-20.43.15,1448,1205,1448,563,19,14
2026.05.26-23.40.21,1611,1206,1611,562,19,14
2026.05.26-23.48.04,1611,1232,1611,575,19,14
2026.05.29-13.14.20,1601,1476,1601,571,17,14
2026.05.29-13.15.57,1601,1480,1601,571,17,14
2026.05.29-19.02.10,1601,1480,1601,806,17,14
